fid;DN;Longitud;Latitud
441;5;-6.66;43.37
442;8;-6.30;43.36
443;5;-4.18;43.37
444;4;-7.46;43.36
446;4;-7.50;43.36
449;4;-7.53;43.35
450;13;-6.94;43.35
454;4;-5.40;43.35
461;4;-6.86;43.34
463;8;-6.83;43.34
475;4;-5.27;43.34
481;6;-4.66;43.34
483;7;-4.38;43.34
484;9;-4.20;43.34
488;8;-3.78;43.34
496;2;-3.39;43.34
497;4;-3.30;43.34
498;9;-2.96;43.34
499;5;-1.90;43.34
500;16;-1.87;43.34
501;5;-1.84;43.34
502;9;-1.82;43.34
504;4;-3.23;43.35
505;8;-6.87;43.34
507;4;-5.65;43.34
508;7;-4.41;43.34
512;8;-3.82;43.34
514;4;-3.16;43.35
515;4;-2.77;43.34
516;4;-2.48;43.34
517;11;-1.89;43.34
518;9;-6.98;43.34
519;4;-6.89;43.34
520;4;-6.84;43.34
521;5;-6.82;43.34
522;9;-6.81;43.34
524;4;-6.37;43.34
527;4;-5.73;43.34
530;3;-4.97;43.34
531;3;-4.94;43.34
532;7;-4.93;43.34
533;3;-4.87;43.34
534;3;-4.75;43.34
535;3;-4.72;43.34
536;6;-4.63;43.34
540;7;-4.47;43.34
542;4;-3.93;43.34
543;4;-3.91;43.34
548;2;-3.45;43.34
549;2;-3.29;43.35
550;2;-3.24;43.34
551;4;-3.21;43.34
553;9;-2.98;43.34
554;9;-2.94;43.34
555;4;-2.75;43.34
556;4;-2.72;43.34
557;4;-2.60;43.34
558;4;-2.56;43.34
559;4;-1.95;43.34
560;6;-1.90;43.34
561;5;-1.87;43.34
562;14;-1.85;43.34
563;4;-3.08;43.34
564;5;-2.94;43.35
565;8;-5.35;43.35
567;3;-4.44;43.34
569;4;-7.43;43.33
577;4;-4.08;43.33
578;4;-2.51;43.33
579;4;-1.91;43.33
580;9;-1.78;43.33
581;9;-1.75;43.33
582;4;-7.81;43.33
584;9;-6.94;43.33
585;13;-6.88;43.33
586;9;-6.82;43.33
587;5;-6.81;43.33
588;8;-6.36;43.36
594;4;-5.75;43.33
595;4;-5.67;43.33
596;4;-5.33;43.33
597;8;-5.32;43.33
601;3;-4.93;43.33
603;7;-4.78;43.33
604;3;-4.76;43.33
605;3;-4.69;43.33
608;3;-4.47;43.33
613;2;-3.36;43.33
614;4;-3.20;43.33
615;4;-3.15;43.33
616;5;-2.98;43.33
617;4;-2.57;43.33
618;4;-2.43;43.33
620;14;-1.87;43.33
621;5;-1.86;43.33
622;4;-6.78;43.36
623;3;-4.38;43.33
624;4;-4.24;43.34
627;9;-6.84;43.32
628;4;-6.31;43.33
630;8;-5.40;43.32
631;4;-4.98;43.32
632;7;-4.70;43.32
634;4;-3.72;43.32
636;2;-3.22;43.33
637;9;-2.97;43.32
639;9;-6.98;43.32
642;6;-6.24;43.32
644;4;-5.73;43.32
645;4;-5.70;43.32
648;8;-5.33;43.32
651;6;-5.07;43.32
652;6;-5.05;43.32
653;4;-5.04;43.32
655;6;-5.00;43.32
657;4;-4.93;43.32
658;7;-4.92;43.32
661;6;-4.82;43.32
662;5;-4.72;43.32
664;4;-4.42;43.32
665;3;-4.41;43.32
666;4;-3.77;43.32
670;4;-3.21;43.32
671;4;-3.17;43.32
672;4;-3.13;43.32
673;4;-3.05;43.32
674;4;-2.98;43.32
675;4;-2.92;43.32
676;4;-2.72;43.32
678;4;-2.56;43.32
679;4;-1.89;43.32
680;9;-1.81;43.32
681;12;-1.80;43.32
683;2;-1.75;43.32
684;5;-6.98;43.35
685;4;-7.55;43.32
687;4;-2.66;43.33
692;7;-4.88;43.32
693;8;-3.77;43.33
700;4;-5.08;43.31
701;7;-4.74;43.31
703;2;-1.77;43.31
704;9;-1.71;43.31
705;9;-1.65;43.31
706;13;-6.97;43.31
707;4;-6.48;43.33
710;2;-6.32;43.31
714;4;-5.37;43.31
716;7;-5.10;43.31
718;4;-5.00;43.31
719;3;-4.98;43.31
721;7;-4.93;43.31
722;3;-4.91;43.31
723;7;-4.89;43.31
724;3;-4.88;43.31
726;7;-4.77;43.31
727;5;-4.73;43.31
728;4;-4.72;43.31
729;9;-4.70;43.31
730;5;-4.69;43.31
733;4;-4.41;43.31
734;4;-4.25;43.31
735;4;-4.09;43.31
738;8;-3.77;43.31
740;4;-3.74;43.31
741;6;-3.73;43.31
742;4;-3.72;43.31
744;2;-3.51;43.31
747;4;-3.36;43.31
748;4;-3.14;43.31
749;4;-3.09;43.31
751;12;-1.81;43.31
752;12;-1.78;43.31
753;12;-1.76;43.31
758;4;-4.18;43.31
759;4;-7.62;43.30
763;8;-5.37;43.30
765;7;-4.95;43.32
770;4;-2.60;43.30
771;3;-1.80;43.30
772;4;-7.79;43.34
774;5;-7.02;43.30
775;2;-6.33;43.30
778;3;-5.99;43.30
781;7;-5.87;43.30
782;3;-5.86;43.30
783;4;-5.72;43.30
784;4;-5.68;43.30
785;4;-5.65;43.30
788;7;-5.08;43.30
789;3;-5.07;43.30
790;7;-5.06;43.30
792;6;-4.94;43.30
793;3;-4.93;43.30
794;4;-4.88;43.30
795;3;-4.86;43.30
796;2;-4.82;43.30
797;2;-4.78;43.30
798;4;-4.73;43.30
799;7;-4.72;43.30
801;3;-4.49;43.30
802;3;-4.43;43.30
803;4;-4.10;43.30
806;4;-3.73;43.30
808;4;-3.52;43.30
810;2;-3.49;43.30
811;4;-3.18;43.30
812;4;-2.94;43.30
813;4;-2.57;43.30
814;4;-2.54;43.30
815;4;-2.52;43.30
816;4;-2.45;43.31
817;9;-1.82;43.30
818;2;-1.78;43.30
819;12;-1.77;43.30
820;2;-1.74;43.30
822;9;-1.66;43.30
823;4;-3.25;43.32
824;2;-3.36;43.30
825;4;-6.27;43.34
826;5;-7.57;43.29
828;5;-6.98;43.29
830;6;-6.26;43.31
831;6;-6.07;43.29
833;4;-4.84;43.30
834;5;-4.80;43.30
835;3;-4.70;43.30
836;7;-4.45;43.31
837;5;-3.10;43.29
838;4;-2.71;43.29
839;9;-1.84;43.30
842;5;-7.01;43.29
843;13;-6.95;43.29
