fid;DN;Longitud;Latitud
7800;13;0.33;42.69
7801;13;0.37;42.69
7802;4;0.39;42.69
7803;6;0.78;42.78
7804;9;0.79;42.69
7806;10;1.05;42.69
7807;6;1.06;42.69
7808;10;1.09;42.70
7809;4;1.16;42.69
7811;9;1.38;42.69
7812;4;-6.56;42.72
7813;3;-5.20;42.70
7814;4;-7.58;42.72
7815;12;-4.80;42.69
7817;5;-3.90;42.69
7818;14;-2.10;42.70
7819;7;-1.90;42.69
7820;5;-1.58;42.69
7821;20;-1.32;42.69
7822;10;0.47;42.68
7823;6;0.89;42.69
7824;4;-5.66;42.69
7825;8;-4.57;42.68
7826;4;-4.47;42.68
7827;3;-3.53;42.69
7828;5;-2.92;42.70
7829;5;-2.69;42.68
7830;9;-1.62;42.68
7831;20;-1.21;42.69
7832;11;-1.05;42.68
7833;11;-0.99;42.68
7834;13;-0.80;42.68
7835;16;-0.42;42.68
7836;6;-0.40;42.68
7837;2;-0.29;42.68
7838;4;0.10;42.69
7839;14;0.14;42.68
7840;4;0.55;42.68
7841;9;0.64;42.69
7842;9;0.94;42.68
7843;9;1.18;42.68
7844;5;-8.38;42.68
7846;4;-8.02;42.68
7847;4;-7.77;42.69
7848;9;-6.77;42.68
7849;4;-6.58;42.68
7850;4;-6.43;42.68
7851;5;-5.80;42.68
7852;9;-5.74;42.68
7855;4;-4.67;42.68
7857;3;-4.17;42.68
7858;8;-4.08;42.68
7859;7;-4.06;42.68
7860;13;-3.94;42.68
7861;16;-3.93;42.68
7862;10;-3.91;42.68
7863;3;-3.45;42.68
7864;7;-3.10;42.68
7865;11;-3.09;42.68
7866;4;-3.08;42.68
7867;14;-2.82;42.68
7868;22;-2.80;42.68
7869;2;-2.73;42.68
7870;9;-2.58;42.69
7871;5;-2.53;42.68
7872;5;-2.41;42.68
7873;18;-1.95;42.68
7876;5;-1.80;42.68
7878;5;-1.64;42.68
7879;3;-1.58;42.68
7880;5;-1.52;42.68
7881;12;-1.51;42.68
7882;5;-1.43;42.68
7884;5;-1.38;42.68
7885;18;-1.33;42.68
7886;8;-1.14;42.68
7887;7;-1.12;42.68
7888;7;-1.07;42.68
7890;7;-1.01;42.68
7891;7;-0.95;42.68
7892;11;-0.94;42.68
7894;16;-0.88;42.68
7895;9;-0.87;42.68
7896;3;-0.81;42.68
7897;13;-0.74;42.68
7898;5;-0.71;42.68
7899;16;-0.69;42.68
7900;16;-0.63;42.68
7901;12;-0.54;42.68
7902;13;-0.43;42.68
7903;4;-0.15;42.68
7904;3;-0.12;42.68
7905;16;-0.07;42.68
7906;17;0.17;42.68
7907;13;0.20;42.68
7908;10;0.25;42.68
7909;4;0.32;42.68
7910;13;0.34;42.68
7911;4;0.38;42.68
7913;9;0.71;42.68
7914;9;0.78;42.68
7915;13;0.89;42.68
7916;13;0.91;42.68
7917;9;1.05;42.68
7918;10;1.06;42.68
7919;9;1.08;42.68
7920;13;1.09;42.68
7921;13;1.16;42.68
7922;9;1.35;42.68
7923;6;1.37;42.68
7924;17;-2.99;42.69
7925;5;-1.36;42.69
7926;5;-3.83;42.68
7927;20;-1.39;42.69
7928;4;-5.82;42.68
7929;14;-1.98;42.69
7930;5;-1.55;42.68
7931;2;-0.77;42.68
7932;4;-0.22;42.68
7933;6;0.83;42.68
7934;9;0.87;42.68
7935;3;-6.24;42.68
7936;5;-4.45;42.67
7937;18;-4.03;42.67
7938;11;-3.86;42.67
7939;10;-3.13;42.67
7940;5;-2.88;42.67
7941;8;-2.71;42.69
7942;7;-2.25;42.67
7943;9;-2.13;42.68
7944;12;-2.01;42.67
7946;12;-1.44;42.67
7947;8;-1.09;42.68
7949;3;-0.32;42.68
7950;16;-0.26;42.67
7951;2;-0.11;42.67
7952;4;-0.08;42.67
7953;14;0.07;42.67
7954;13;0.27;42.67
7955;10;0.81;42.67
7956;6;1.17;42.67
7957;9;1.31;42.68
7958;9;-8.38;42.67
7959;9;-8.34;42.67
7960;9;-8.30;42.69
7961;5;-8.03;42.67
7962;4;-6.57;42.67
7963;3;-6.20;42.67
7965;3;-4.82;42.67
7966;4;-4.72;42.67
7967;4;-4.57;42.67
7969;3;-4.24;42.67
7972;8;-4.05;42.67
7973;5;-3.92;42.67
7974;18;-3.87;42.67
7975;11;-3.08;42.67
7976;22;-2.84;42.67
7977;12;-2.80;42.67
7978;5;-2.58;42.67
7979;14;-2.43;42.67
7980;8;-2.33;42.67
7981;5;-2.27;42.67
7982;10;-2.26;42.67
7985;8;-2.00;42.67
7986;5;-1.95;42.67
7987;5;-1.85;42.67
7988;21;-1.81;42.67
7989;18;-1.77;42.67
7990;5;-1.66;42.67
7992;5;-1.63;42.67
7993;12;-1.55;42.67
7994;5;-1.51;42.67
7995;5;-1.30;42.67
7996;8;-1.06;42.67
7998;7;-0.98;42.67
8000;11;-0.93;42.67
8001;3;-0.80;42.67
8002;5;-0.76;42.67
8004;9;-0.45;42.67
8006;16;-0.35;42.67
8007;2;-0.31;42.67
8008;13;-0.28;42.67
8009;16;-0.23;42.67
8010;8;0.00;42.67
8011;6;0.08;42.67
8012;14;0.09;42.67
8013;17;0.15;42.67
8014;10;0.30;42.67
8015;13;0.33;42.67
8016;4;0.34;42.67
8017;9;0.52;42.67
8019;9;0.63;42.67
8020;4;0.68;42.67
8021;9;0.76;42.67
8022;6;0.78;42.67
8023;13;0.90;42.67
8024;9;0.91;42.67
8025;9;0.96;42.67
8026;13;1.05;42.67
8027;9;1.06;42.67
8028;10;1.08;42.67
8029;6;1.10;42.67
8030;9;1.11;42.67
8032;13;-2.67;42.69
8033;22;-1.27;42.68
8034;16;-1.76;42.68
8035;5;-4.63;42.69
8036;8;-3.98;42.67
8037;7;-3.78;42.69
8038;2;-2.19;42.69
8039;10;0.41;42.68
8040;5;-5.74;42.67
8041;7;-4.84;42.67
8042;8;-4.26;42.68
8043;14;-2.77;42.68
8044;5;-1.15;42.67
8046;11;-0.04;42.67
8048;4;-6.53;42.66
8049;4;-6.47;42.67
8050;4;-5.67;42.67
8051;4;-5.33;42.66
8052;8;-4.80;42.67
8053;5;-4.76;42.68
8054;5;-3.94;42.66
8055;16;-3.89;42.66
8056;4;-3.07;42.66
8057;16;-1.70;42.67
8058;14;-1.57;42.67
8059;18;-1.38;42.67
8061;9;-0.91;42.67
8063;5;-0.67;42.67
8064;13;-0.59;42.67
8065;2;-0.54;42.66
8067;12;-0.47;42.67
8068;16;-0.41;42.66
8069;8;-0.03;42.66
8070;13;0.39;42.67
8071;4;0.40;42.66
8072;9;0.57;42.68
8074;9;-8.35;42.66
8075;4;-8.00;42.67
8076;9;-6.77;42.66
8077;4;-6.56;42.66
8078;12;-4.82;42.66
8079;9;-4.77;42.66
8081;5;-4.61;42.66
8082;5;-4.59;42.66
8083;5;-4.43;42.66
8085;8;-4.30;42.66
8086;5;-4.17;42.66
8087;2;-4.15;42.66
8088;7;-4.08;42.66
8089;8;-4.03;42.66
8090;5;-4.02;42.66
8091;18;-4.00;42.66
8093;4;-3.48;42.66
8094;3;-3.42;42.66
8096;8;-2.72;42.66
8097;13;-2.58;42.66
8098;5;-2.56;42.66
8099;13;-2.54;42.66
8100;5;-2.52;42.66
8101;21;-2.26;42.66
8102;18;-2.24;42.66
8104;9;-2.16;42.66
8105;14;-2.00;42.66
8106;5;-1.99;42.66
8107;12;-1.84;42.66
8108;16;-1.77;42.66
8109;18;-1.76;42.66
8110;5;-1.72;42.66
8112;12;-1.61;42.67
8113;12;-1.56;42.66
8114;3;-1.55;42.66
8116;12;-1.49;42.66
8118;18;-1.40;42.66
8119;5;-1.32;42.66
8120;20;-1.30;42.66
8121;20;-1.27;42.66
8122;20;-1.23;42.66
8123;4;-1.17;42.66
8124;8;-1.12;42.66
8125;3;-1.06;42.66
8127;8;-0.93;42.66
8128;9;-0.88;42.66
8129;9;-0.83;42.66
8130;5;-0.78;42.66
8131;13;-0.76;42.66
8132;16;-0.73;42.66
8133;16;-0.64;42.66
8134;12;-0.51;42.66
8135;16;-0.25;42.66
8136;16;-0.07;42.66
8137;11;-0.06;42.66
8138;4;-0.05;42.66
8139;4;0.07;42.66
8140;14;0.08;42.66
8141;6;0.09;42.66
8142;9;0.10;42.66
8144;17;0.35;42.66
8145;13;0.50;42.66
8146;9;0.65;42.66
8147;9;1.33;42.66
8148;9;1.37;42.66
8149;11;-3.04;42.70
8150;14;-1.47;42.68
8151;5;-3.11;42.67
8152;13;0.53;42.67
8153;9;-8.06;42.67
8155;4;-4.48;42.66
8156;6;0.51;42.66
8157;8;-4.55;42.66
8158;4;-4.52;42.67
8159;11;-3.82;42.66
8160;17;-2.90;42.67
8161;2;-2.70;42.66
8162;21;-2.44;42.66
8164;5;-8.33;42.68
8165;9;-4.73;42.66
8166;4;-4.67;42.66
8167;10;-3.85;42.66
8168;3;-3.80;42.66
8169;7;-3.09;42.66
8170;11;-2.72;42.65
8171;5;-2.65;42.66
8173;7;-2.01;42.66
8174;5;-1.64;42.66
8175;11;-0.94;42.66
8177;13;-0.22;42.66
8178;10;0.78;42.66
8179;10;0.85;42.66
8180;9;1.08;42.66
8181;9;-8.37;42.65
8182;5;-8.06;42.65
8183;5;-8.04;42.65
8186;4;-4.85;42.65
8187;8;-4.83;42.65
8188;12;-4.80;42.65
8189;9;-4.79;42.65
8190;8;-4.75;42.65
8191;12;-4.74;42.65
8192;4;-4.72;42.65
8193;5;-4.62;42.65
8196;3;-4.23;42.65
8197;5;-3.98;42.65
8198;10;-3.97;42.65
8199;7;-3.86;42.65
8200;3;-3.60;42.65
8201;11;-2.96;42.65
8202;11;-2.89;42.65
8203;14;-2.81;42.65
8204;12;-2.76;42.65
8205;8;-2.70;42.65
8206;8;-2.67;42.65
8207;21;-2.48;42.65
8208;16;-2.31;42.65
8209;21;-2.28;42.65
8210;5;-2.15;42.65
8211;9;-2.12;42.65
8212;9;-2.09;42.65
8213;11;-2.06;42.65
8214;9;-2.00;42.65
8215;16;-1.95;42.65
8216;13;-1.94;42.65
8217;5;-1.84;42.65
8218;21;-1.81;42.65
8219;16;-1.76;42.65
8220;8;-1.70;42.65
8221;8;-1.68;42.65
8222;5;-1.62;42.65
8223;3;-1.59;42.65
8224;12;-1.57;42.65
8227;12;-1.43;42.65
8228;20;-1.34;42.66
8229;5;-1.31;42.65
8230;22;-1.30;42.65
8231;22;-1.27;42.65
8232;20;-1.26;42.65
8233;4;-1.25;42.65
8234;9;-1.23;42.65
8235;22;-1.21;42.65
8238;8;-1.05;42.65
8241;16;-0.83;42.65
8242;16;-0.78;42.65
8243;3;-0.76;42.65
8244;13;-0.74;42.65
8245;16;-0.66;42.65
8246;16;-0.63;42.65
8247;13;-0.60;42.65
8248;9;-0.49;42.65
8249;3;-0.28;42.65
8250;13;-0.16;42.65
8252;14;0.10;42.65
8253;4;0.31;42.65
8254;10;0.45;42.65
8255;9;0.53;42.65
8256;6;0.55;42.65
8257;9;0.57;42.65
8258;9;0.61;42.65
8259;9;1.03;42.65
8260;10;1.06;42.65
8261;9;1.14;42.65
8262;9;1.34;42.65
8263;9;1.40;42.65
8264;20;-2.83;42.68
8265;13;0.73;42.67
8266;16;-3.19;42.66
8267;9;-3.14;42.67
8268;9;-2.05;42.66
8269;16;-0.17;42.66
8270;6;0.67;42.70
8271;5;-8.37;42.65
8272;9;-5.73;42.65
8273;3;-3.74;42.66
8274;15;-3.02;42.66
8275;11;-1.92;42.66
8277;13;-0.69;42.65
8278;9;-6.71;42.65
8280;5;-4.64;42.65
8281;7;-3.75;42.65
8282;5;-3.70;42.65
8284;3;-3.52;42.65
8285;3;-3.45;42.65
8286;4;-3.11;42.65
8287;5;-3.06;42.65
8288;13;-2.98;42.67
8289;5;-2.24;42.65
8292;12;-1.55;42.65
8293;5;-1.47;42.65
8294;5;-1.39;42.65
8296;3;-0.64;42.65
8297;4;0.00;42.66
8298;9;-8.35;42.64
8299;9;-8.06;42.64
8300;9;-6.79;42.64
8301;9;-6.69;42.64
8302;9;-5.80;42.64
8303;3;-5.08;42.67
8305;8;-4.79;42.64
8306;5;-4.76;42.64
8307;12;-4.73;42.64
8308;5;-4.72;42.64
8309;9;-4.66;42.64
8310;5;-4.59;42.64
8311;4;-4.56;42.64
8314;7;-4.05;42.64
8315;8;-4.03;42.64
8316;5;-3.96;42.64
8317;13;-3.86;42.64
8318;10;-3.81;42.64
8319;5;-3.79;42.64
8320;5;-3.61;42.64
8321;5;-3.20;42.64
8322;9;-3.04;42.64
8323;11;-3.00;42.64
8324;18;-2.97;42.64
8325;14;-2.92;42.65
8326;11;-2.88;42.64
8327;22;-2.83;42.64
8328;20;-2.81;42.64
8329;16;-2.72;42.64
8330;16;-2.70;42.64
8331;7;-2.69;42.64
8332;13;-2.67;42.64
8333;2;-2.66;42.64
8335;2;-2.64;42.64
8336;7;-2.57;42.67
8337;13;-2.58;42.64
8338;10;-2.57;42.64
8339;16;-2.56;42.64
8340;5;-2.54;42.64
8341;13;-2.52;42.64
8342;16;-2.33;42.64
8343;11;-2.09;42.64
8344;11;-2.07;42.64
8345;12;-2.00;42.64
8346;5;-1.74;42.64
8347;5;-1.59;42.64
8349;3;-1.56;42.64
8351;18;-1.37;42.64
8352;5;-1.35;42.64
8353;11;-1.30;42.64
8354;22;-1.24;42.64
8355;11;-1.04;42.64
8357;3;-0.99;42.64
8358;16;-0.93;42.64
8360;3;-0.74;42.64
8361;16;-0.71;42.64
8363;13;-0.59;42.64
8364;3;-0.48;42.64
8365;3;-0.16;42.64
8366;3;-0.06;42.64
8367;8;-0.02;42.64
8368;17;0.14;42.64
8369;9;0.18;42.64
8370;14;0.21;42.64
8371;17;0.27;42.64
8372;4;0.29;42.64
8373;10;0.41;42.64
8374;14;0.44;42.64
8375;14;0.50;42.64
8376;4;0.51;42.64
8377;6;0.53;42.64
8378;9;0.55;42.64
8379;6;0.60;42.64
8380;4;0.73;42.64
8383;10;0.83;42.64
8384;13;0.87;42.64
8385;10;0.89;42.64
8386;9;1.04;42.64
8387;9;1.15;42.64
8389;9;1.36;42.64
8391;4;-8.14;42.72
8392;5;-1.00;42.71
8393;8;-4.32;42.66
8394;21;-1.86;42.66
8395;13;-3.92;42.65
8397;18;-4.41;42.67
8398;12;-1.51;42.65
8399;9;-8.30;42.64
8400;4;-8.10;42.64
8401;9;-4.63;42.64
8402;11;-3.76;42.64
8403;14;-2.16;42.64
8404;18;-1.96;42.65
8405;18;-1.76;42.64
8406;18;-1.71;42.68
8407;14;-1.63;42.64
8408;5;-0.80;42.64
8409;14;0.46;42.64
8410;5;-8.34;42.64
8411;4;-8.04;42.64
8412;5;-4.61;42.64
8413;9;-4.51;42.64
8414;8;-4.24;42.64
8415;5;-3.87;42.64
8416;16;-3.82;42.64
8417;5;-3.66;42.64
8418;11;-3.49;42.67
8419;6;-3.08;42.64
8420;5;-2.85;42.64
8421;14;-2.77;42.64
8422;18;-2.24;42.64
8423;18;-2.19;42.64
8425;9;-2.10;42.64
8426;13;-1.91;42.64
8427;23;-1.80;42.66
8428;12;-1.61;42.64
8429;24;-1.32;42.64
8430;2;-1.14;42.64
8431;5;-1.07;42.64
8433;13;-0.75;42.64
8434;12;-0.45;42.64
8435;3;-0.31;42.64
8436;13;1.11;42.64
8437;9;1.26;42.64
8438;4;-8.38;42.63
8439;5;-8.31;42.63
8440;5;-8.27;42.63
8441;5;-4.85;42.63
8442;5;-4.80;42.63
8443;3;-4.68;42.63
8444;7;-4.67;42.63
8445;12;-4.66;42.63
8446;8;-4.64;42.63
8447;5;-4.63;42.63
8448;14;-4.39;42.64
8451;8;-4.09;42.63
8452;5;-4.04;42.63
8453;5;-4.00;42.63
8455;10;-3.94;42.63
8456;5;-3.90;42.63
8457;7;-3.73;42.63
8458;5;-3.72;42.63
8459;13;-3.66;42.67
8460;3;-3.57;42.64
8461;3;-3.53;42.63
8463;5;-3.04;42.63
8464;15;-3.01;42.63
8465;9;-2.97;42.63
8466;9;-2.95;42.63
8467;3;-2.92;42.63
8468;5;-2.90;42.63
8469;9;-2.89;42.63
8470;12;-2.86;42.63
8471;16;-2.77;42.63
8472;9;-2.70;42.63
8473;3;-2.66;42.63
8474;10;-2.62;42.63
8475;8;-2.57;42.63
8476;21;-2.52;42.64
8477;21;-2.37;42.63
8478;8;-2.31;42.63
8479;21;-2.28;42.63
8480;13;-2.20;42.65
8481;5;-2.13;42.63
8482;11;-2.08;42.63
8483;13;-2.03;42.63
8484;11;-2.01;42.63
8485;18;-2.00;42.63
8486;16;-1.96;42.63
8487;23;-1.83;42.63
8488;8;-1.81;42.63
8489;16;-1.77;42.63
8490;17;-1.74;42.63
8491;3;-1.65;42.63
8494;12;-1.56;42.63
8495;3;-1.53;42.63
8496;12;-1.42;42.63
8497;5;-1.37;42.63
8498;9;-1.33;42.63
8499;9;-1.31;42.63
8500;9;-1.20;42.66
8501;7;-1.19;42.63
8503;7;-1.02;42.63
8504;16;-0.83;42.63
8506;13;-0.65;42.63
8507;13;-0.60;42.63
8509;13;-0.37;42.63
8510;16;-0.32;42.63
8511;13;-0.26;42.64
8512;13;-0.09;42.63
8513;3;-0.02;42.63
8515;17;0.15;42.63
8516;4;0.38;42.63
8517;17;0.48;42.63
8518;4;0.50;42.63
8519;9;0.53;42.63
8520;17;0.54;42.63
8521;17;0.73;42.63
8522;9;0.76;42.63
8524;9;1.10;42.64
8525;13;1.16;42.63
8526;9;1.34;42.63
8527;5;-2.74;42.65
8529;10;1.14;42.66
8530;20;-1.28;42.64
8531;4;0.12;42.64
8532;8;-4.74;42.63
8533;8;-3.97;42.63
8535;11;-0.99;42.63
8536;13;-0.78;42.63
8537;13;-0.19;42.63
8538;13;-0.13;42.64
8539;9;1.40;42.63
8540;9;-5.77;42.67
8541;5;-5.73;42.64
8542;4;-2.96;42.63
8543;14;-2.82;42.63
8544;12;-2.79;42.63
8545;21;-1.72;42.63
8546;18;-1.39;42.63
8547;11;-1.09;42.63
8548;3;-1.07;42.63
8549;9;-0.92;42.63
8550;16;-0.75;42.63
8551;12;-0.73;42.63
8552;3;-0.70;42.63
8553;13;-0.38;42.66
8554;11;-0.06;42.63
8555;6;0.47;42.63
8556;17;0.51;42.63
8557;14;0.79;42.63
8558;4;0.82;42.63
8559;4;0.88;42.63
8560;4;-8.31;42.62
8561;4;-8.06;42.62
8562;4;-5.60;42.62
8564;8;-4.79;42.62
8565;7;-4.68;42.62
8566;3;-4.67;42.62
8567;7;-4.66;42.62
8568;5;-4.62;42.62
8569;8;-4.08;42.62
8570;5;-4.06;42.62
8571;8;-4.03;42.62
8572;5;-3.98;42.62
8573;5;-3.91;42.62
8574;5;-3.84;42.62
8575;4;-3.73;42.62
8577;8;-3.42;42.62
8578;11;-3.07;42.62
8579;9;-3.03;42.63
8580;15;-3.02;42.62
8581;4;-3.01;42.62
8582;15;-2.97;42.62
8583;11;-2.95;42.62
8584;3;-2.90;42.62
8585;4;-2.88;42.63
8586;9;-2.86;42.62
8587;12;-2.85;42.62
8588;16;-2.84;42.62
8589;18;-2.80;42.62
8590;18;-2.77;42.62
8591;11;-2.76;42.62
8592;7;-2.73;42.62
8593;9;-2.69;42.62
8594;21;-2.60;42.63
8595;8;-2.48;42.62
8596;10;-2.32;42.67
8597;3;-2.31;42.62
8598;16;-2.27;42.62
8599;8;-2.08;42.62
8600;13;-2.00;42.62
8601;22;-1.85;42.62
8602;21;-1.65;42.62
8603;4;-1.50;42.62
8604;12;-1.43;42.62
8605;3;-1.42;42.62
8606;5;-1.40;42.62
8607;5;-1.38;42.62
8608;18;-1.36;42.63
8609;5;-1.34;42.62
8610;24;-1.33;42.62
8611;9;-1.32;42.62
8612;22;-1.30;42.63
8614;20;-1.25;42.62
8616;20;-1.21;42.62
8617;7;-1.18;42.62
8618;4;-1.17;42.62
8619;8;-1.14;42.62
8620;3;-1.10;42.62
8621;4;-1.05;42.62
8622;7;-1.04;42.62
8623;11;-1.02;42.62
8624;7;-1.01;42.62
8626;3;-0.97;42.63
8627;16;-0.95;42.62
8628;12;-0.93;42.62
8630;5;-0.82;42.62
8631;2;-0.79;42.62
8633;3;-0.64;42.62
8634;13;-0.63;42.62
8635;12;-0.49;42.62
8636;9;-0.42;42.62
8637;8;-0.05;42.62
8638;4;0.00;42.62
8639;14;0.09;42.62
8640;14;0.48;42.62
8641;6;0.50;42.62
8642;6;0.52;42.62
8643;14;0.53;42.62
8644;9;0.54;42.62
8645;17;0.70;42.62
8646;14;0.74;42.62
8647;17;0.76;42.62
8648;13;1.06;42.62
8649;13;1.09;42.62
8650;10;1.10;42.62
8651;3;1.12;42.62
8652;9;1.16;42.62
8653;9;1.35;42.62
8654;9;-0.55;42.64
8655;4;0.72;42.63
8656;13;0.83;42.64
8657;9;-6.74;42.65
8658;11;-4.17;42.66
8659;13;-0.87;42.63
8660;4;0.44;42.65
8661;6;0.98;42.71
8662;5;-6.83;42.72
8663;5;-6.70;42.65
8664;12;-4.76;42.63
8665;9;1.03;42.63
8666;4;-8.28;42.62
8667;9;-6.73;42.62
8668;9;-5.80;42.62
8669;5;-5.70;42.62
8670;5;-4.83;42.62
8671;12;-4.80;42.62
8672;12;-4.64;42.62
8673;4;-4.35;42.62
8674;5;-4.02;42.62
8675;3;-4.00;42.62
8676;11;-3.99;42.62
8677;5;-2.34;42.62
8678;13;-2.24;42.62
8679;13;-2.19;42.62
8681;10;-2.09;42.62
8682;8;-1.74;42.62
8683;5;-1.64;42.62
8684;16;-0.81;42.62
8685;11;0.25;42.62
8686;13;0.91;42.62
8687;4;-7.00;42.61
8688;5;-6.73;42.61
8689;5;-5.73;42.61
8690;4;-5.58;42.61
8691;5;-4.88;42.61
8692;3;-4.68;42.61
8693;3;-4.66;42.61
8694;8;-4.63;42.61
8695;3;-4.08;42.61
8696;16;-4.03;42.66
8697;8;-3.90;42.61
8698;16;-3.05;42.62
8699;20;-3.02;42.61
8701;15;-2.96;42.61
8702;16;-2.86;42.61
8703;11;-2.85;42.61
8704;14;-2.77;42.61
8705;16;-2.76;42.61
8706;5;-2.73;42.61
8707;5;-2.65;42.62
8708;14;-2.54;42.61
8709;16;-2.48;42.61
8710;3;-2.28;42.61
8711;20;-1.98;42.61
8712;22;-1.88;42.61
8713;5;-1.81;42.61
8714;19;-1.72;42.61
8715;21;-1.61;42.61
8716;4;-1.43;42.61
8718;8;-1.36;42.61
8719;21;-1.34;42.61
8720;25;-1.33;42.61
8721;12;-1.32;42.61
8722;7;-1.29;42.61
8725;7;-1.20;42.61
8726;7;-1.05;42.61
8727;4;-1.04;42.61
8728;7;-1.02;42.61
8729;7;-0.99;42.61
8730;12;-0.98;42.61
8732;14;-0.91;42.61
8733;5;-0.89;42.61
8734;20;-0.80;42.61
8735;16;-0.73;42.61
8736;13;-0.69;42.62
8737;16;-0.66;42.61
8739;13;-0.59;42.61
8740;3;-0.53;42.61
8742;9;-0.41;42.61
8743;2;-0.11;42.61
8744;13;-0.09;42.61
8745;6;0.09;42.61
8746;17;0.15;42.61
8747;4;0.17;42.61
8748;4;0.29;42.61
8749;17;0.50;42.61
8750;14;0.51;42.61
8751;17;0.53;42.61
8752;6;0.54;42.61
8753;17;0.55;42.61
8754;9;0.57;42.61
8755;6;0.65;42.61
8756;17;0.80;42.61
8757;4;0.85;42.61
8758;4;0.90;42.61
8759;6;1.02;42.61
8760;10;1.05;42.61
8761;9;1.10;42.61
8762;10;1.11;42.61
8763;13;1.12;42.61
8764;6;1.17;42.61
8765;9;1.26;42.61
8766;9;1.31;42.61
8767;13;1.41;42.61
8768;2;-0.08;42.64
8769;14;0.30;42.63
8770;9;-4.82;42.63
8771;4;-8.35;42.62
8772;6;0.59;42.64
8773;4;-8.46;42.62
8774;8;-3.10;42.62
8775;18;-2.83;42.61
8776;9;-2.16;42.62
8777;13;-2.14;42.62
8778;8;-1.61;42.62
8779;21;-1.57;42.62
8780;13;-0.32;42.61
8781;11;-0.01;42.62
8782;14;0.40;42.61
8783;14;0.72;42.61
8784;6;0.79;42.61
8785;4;-8.49;42.61
8786;4;-8.40;42.61
8787;4;-5.81;42.61
8788;5;-5.67;42.61
8789;3;-4.71;42.62
8790;5;-4.23;42.61
8792;12;-2.99;42.62
8793;16;-2.79;42.61
8794;8;-2.43;42.61
8795;13;-2.33;42.61
8797;10;-2.01;42.61
8798;25;-1.30;42.61
8799;7;-1.23;42.61
8800;3;-0.76;42.61
8801;13;-0.40;42.61
8802;6;0.48;42.61
8803;4;-8.31;42.60
8804;4;-6.86;42.60
8805;4;-6.82;42.60
8806;4;-5.59;42.60
8811;7;-4.76;42.60
8812;3;-4.75;42.60
8813;7;-4.74;42.60
8814;9;-4.56;42.60
8815;5;-4.25;42.60
8817;5;-3.93;42.60
8818;5;-3.91;42.60
8819;5;-3.77;42.60
8820;8;-3.66;42.60
8822;11;-2.97;42.60
8823;12;-2.72;42.60
8824;12;-2.66;42.60
8825;11;-2.64;42.60
8826;16;-2.63;42.60
8827;21;-2.60;42.60
8828;13;-2.35;42.60
8830;11;-2.16;42.60
8831;8;-2.13;42.60
8832;8;-2.09;42.60
8833;17;-1.73;42.60
8834;21;-1.64;42.60
8835;4;-1.52;42.60
8836;4;-1.42;42.60
8837;8;-1.39;42.60
8838;23;-1.34;42.60
8839;18;-1.29;42.60
8840;3;-1.21;42.60
8841;4;-1.06;42.60
8842;5;-0.91;42.60
8843;12;-0.77;42.60
8844;3;-0.64;42.60
8845;2;-0.61;42.61
8848;13;-0.20;42.60
8849;13;-0.13;42.61
8850;2;-0.09;42.60
8851;13;-0.07;42.60
8852;11;-0.03;42.60
8853;4;0.06;42.60
8854;14;0.14;42.60
8855;14;0.16;42.60
8856;17;0.19;42.61
8857;4;0.28;42.60
8858;9;0.50;42.60
8859;19;0.51;42.60
8861;22;0.53;42.60
8862;19;0.54;42.60
8863;6;0.55;42.60
8864;9;0.58;42.60
8865;4;0.66;42.60
8866;6;0.76;42.60
8867;6;0.87;42.60
8868;6;0.92;42.60
8870;9;1.14;42.61
8871;10;1.16;42.61
8872;9;1.22;42.60
8873;10;1.30;42.60
8874;10;1.34;42.60
8875;13;1.35;42.60
8876;10;1.40;42.60
8877;17;0.09;42.62
8878;23;-1.76;42.61
8879;10;-2.49;42.65
8880;16;-2.37;42.61
8881;8;-2.21;42.61
8882;2;-0.45;42.62
8883;11;0.12;42.61
8885;4;-7.02;42.60
8886;5;-5.29;42.60
8887;3;-4.78;42.60
8888;12;-4.63;42.60
8891;10;-2.65;42.60
8892;3;-1.18;42.60
8894;9;-0.95;42.60
8896;12;-0.66;42.60
8897;2;-0.52;42.64
8898;11;-0.05;42.60
8899;7;0.57;42.60
8900;4;0.70;42.60
8901;6;0.90;42.60
8902;9;0.97;42.60
8903;10;1.26;42.60
8904;4;1.37;42.60
8905;4;-8.51;42.60
8906;4;-8.47;42.60
8907;4;-8.44;42.60
8908;4;-8.32;42.60
8909;4;-6.83;42.60
8910;3;-6.27;42.60
8911;5;-5.26;42.60
8912;5;-5.21;42.60
8913;4;-4.81;42.60
8914;5;-4.34;42.60
8915;3;-4.05;42.60
8916;3;-4.01;42.60
8917;5;-3.78;42.60
8918;11;-2.95;42.60
8920;5;-2.71;42.60
8921;14;-2.66;42.60
8922;8;-2.63;42.60
8923;11;-2.35;42.60
8924;11;-2.32;42.60
8925;13;-2.29;42.60
8926;10;-2.24;42.60
8927;10;-2.20;42.60
8928;6;-2.17;42.60
8929;10;-2.09;42.60
8930;10;-2.03;42.60
8931;13;-1.99;42.60
8932;8;-1.55;42.61
8933;23;-1.55;42.60
8934;21;-1.53;42.60
8935;5;-1.37;42.60
8936;8;-1.36;42.60
8937;21;-1.34;42.60
8938;25;-1.33;42.60
8939;3;-1.25;42.60
8940;4;-1.13;42.60
8941;3;-1.08;42.60
8942;7;-1.07;42.60
